duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.333334,0.173198,0.000000,-0.000000,4.266261,-5.444281,1.264205,0.800049,-0.308349,0.173198,0.000000,-0.000000,4.266261,-5.444281,1.264205,0.800049,-0.308349,0.999896,-0.000000,-0.000000,0.000198,-0.000088,-0.000015,0.000004,0.000002,0.206387,-0.000000,0.000000,9.500771,-13.342568,4.375263,1.817096,-0.954869
1.333334,0.591738,-0.788061,-0.399717,1.524323,-2.241185,0.835065,0.325879,-0.179335,0.591738,-0.788061,-0.399717,1.524323,-2.241185,0.835065,0.325879,-0.179335,1.000061,0.000160,-0.000147,-0.000140,0.000069,0.000051,0.000004,-0.000014,2.051140,1.691194,1.036027,-3.358414,3.047989,-0.479742,-0.521514,0.177809
1.333334,-0.633195,-0.591753,1.164780,0.028470,-0.657065,0.311710,0.096577,-0.068132,-0.633195,-0.591753,1.164780,0.028470,-0.657065,0.311710,0.096577,-0.068132,1.000028,0.000011,0.000140,-0.000284,0.000027,0.000059,0.000012,-0.000013,4.200585,1.668141,-0.246025,-0.686088,1.693158,-0.804774,-0.219768,0.160951
1.333334,-0.014880,1.124186,0.207858,-0.892471,0.210956,0.089587,-0.017608,-0.010506,-0.014880,1.124186,0.207858,-0.892471,0.210956,0.089587,-0.017608,-0.010506,0.999923,-0.000145,0.000121,0.000058,-0.000017,0.000015,0.000001,-0.000007,6.291986,1.462856,-0.181625,1.422311,-1.779232,0.463904,0.320230,-0.140902
1.333334,0.604677,-0.523905,-0.752740,-0.171592,0.885920,-0.298589,-0.168325,0.085534,0.604677,-0.523905,-0.752740,-0.171592,0.885920,-0.298589,-0.168325,0.085534,1.000046,0.000321,-0.000023,-0.000465,0.000098,0.000096,0.000015,-0.000021,8.366302,1.580185,0.237723,-0.224645,-0.491756,0.547737,0.006786,-0.088488
1.333334,-0.602087,-0.656783,0.522454,0.726800,0.761999,-1.061247,-0.263582,0.294863,-0.602087,-0.656783,0.522454,0.726800,0.761999,-1.061247,-0.263582,0.294863,0.999969,-0.000230,0.000277,0.000142,-0.000164,-0.000029,0.000010,0.000013,10.492529,1.700341,-0.431752,-2.576350,6.749844,-3.337836,-1.423301,0.964281
