duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.900000,-0.060492,0.000000,-0.000000,-1.761278,0.858511,0.274628,-0.038470,-0.085970,-0.060492,0.000000,-0.000000,-1.761278,0.858511,0.274628,-0.038470,-0.085970,0.999790,0.000000,0.000000,0.000417,-0.000124,-0.000053,-0.000007,0.000004,0.012430,-0.000000,-0.000000,0.185864,0.278463,0.097119,-0.013744,-0.037215
0.900000,-0.680593,-1.331682,-0.025702,1.018789,-0.336049,-0.062961,0.013642,0.019288,-0.680593,-1.331682,-0.025702,1.018789,-0.336049,-0.062961,0.013642,0.019288,0.999979,0.000466,0.000113,-0.000475,0.000078,0.000049,0.000008,-0.000005,0.362868,1.395111,1.966426,0.920026,-1.419088,-0.342572,0.132519,0.184014
0.900000,-1.398413,0.031333,1.006274,-0.059160,-0.122464,-0.049071,-0.000231,0.010997,-1.398413,0.031333,1.006274,-0.059160,-0.122464,-0.049071,-0.000231,0.010997,1.000225,-0.000089,-0.000421,0.000196,0.000027,0.000008,-0.000008,-0.000009,2.907062,3.062527,-1.357610,-0.805791,1.207302,0.107856,-0.135751,-0.114894
0.900000,-0.702447,1.220876,0.027734,-0.648339,0.031524,0.037382,0.016230,0.005204,-0.702447,1.220876,0.027734,-0.648339,0.031524,0.037382,0.016230,0.005204,0.999962,-0.000323,0.000116,0.000045,0.000037,0.000013,-0.000007,-0.000010,4.704952,1.626698,0.359806,-0.203478,-0.089103,0.037938,0.021162,0.004812
0.900000,0.000038,-0.013251,-1.072804,0.124071,0.112438,0.037424,-0.000107,-0.008130,0.000038,-0.013251,-1.072804,0.124071,0.112438,0.037424,-0.000107,-0.008130,0.999821,0.000083,0.000317,-0.000052,-0.000048,-0.000005,-0.000002,-0.000002,6.289577,1.737406,-0.078117,0.202101,-0.133076,-0.023985,0.014614,0.016127
0.900000,-0.698488,-1.222789,-0.020410,0.643728,-0.018936,-0.043442,-0.019778,-0.005782,-0.698488,-1.222789,-0.020410,0.643728,-0.018936,-0.043442,-0.019778,-0.005782,1.000078,0.000354,-0.000142,-0.000345,0.000032,0.000050,0.000019,0.000003,7.851305,1.732939,-0.010241,0.112150,-0.020670,-0.042574,-0.011584,0.003230
0.900000,-1.397605,0.015421,1.042591,-0.197459,0.010713,-0.013793,-0.019259,-0.013664,-1.397605,0.015421,1.042591,-0.197459,0.010713,-0.013793,-0.019259,-0.013664,1.000092,-0.000405,-0.000334,0.000512,0.000105,-0.000020,-0.000044,-0.000032,9.441100,1.758066,-0.192211,-0.401839,0.655686,0.142176,-0.093219,-0.112733
0.900000,-0.701061,1.279189,0.102001,-0.865169,-0.166226,0.126059,0.125144,0.071872,-0.701061,1.279189,0.102001,-0.865169,-0.166226,0.126059,0.125144,0.071872,0.999850,0.000208,0.000594,-0.000630,-0.000140,0.000075,0.000074,0.000041,10.985416,2.064363,0.630595,-0.837603,-1.401893,0.139075,0.403976,0.278586
