duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.666667,0.173198,0.000000,-0.000000,34.130090,-87.108491,40.454548,51.203148,-39.468732,0.173198,0.000000,-0.000000,34.130090,-87.108491,40.454548,51.203148,-39.468732,0.999896,-0.000000,-0.000000,0.001586,-0.001409,-0.000475,0.000242,0.000249,0.206387,-0.000000,0.000000,76.006167,-213.481095,140.008405,116.294113,-122.223277
0.666667,0.591738,-1.576122,-1.598869,12.194587,-35.858963,26.722094,20.856249,-22.954876,0.591738,-1.576122,-1.598869,12.194587,-35.858963,26.722094,20.856249,-22.954876,1.000061,0.000320,-0.000586,-0.001124,0.001112,0.001634,0.000238,-0.001850,2.051140,3.382387,4.144108,-26.867310,48.767829,-15.351743,-33.376888,22.759553
0.666667,-0.633195,-1.183506,4.659122,0.227759,-10.513033,9.974724,6.180912,-8.720880,-0.633195,-1.183506,4.659122,0.227759,-10.513033,9.974724,6.180912,-8.720880,1.000028,0.000022,0.000562,-0.002273,0.000428,0.001900,0.000740,-0.001625,4.200585,3.336282,-0.984099,-5.488706,27.090532,-25.752769,-14.065174,20.601729
0.666667,-0.014880,2.248372,0.831432,-7.139771,3.375290,2.866778,-1.126897,-1.344754,-0.014880,2.248372,0.831432,-7.139771,3.375290,2.866778,-1.126897,-1.344754,0.999923,-0.000290,0.000484,0.000461,-0.000276,0.000482,0.000066,-0.000865,6.291986,2.925711,-0.726500,11.378489,-28.467710,14.844924,20.494730,-18.035439
0.666667,0.604677,-1.047810,-3.010960,-1.372736,14.174720,-9.554860,-10.772798,10.948413,0.604677,-1.047810,-3.010960,-1.372736,14.174720,-9.554860,-10.772798,10.948413,1.000046,0.000642,-0.000094,-0.003718,0.001561,0.003064,0.000961,-0.002693,8.366302,3.160369,0.950891,-1.797163,-7.868091,17.527596,0.434329,-11.326445
0.666667,-0.602087,-1.313566,2.089816,5.814401,12.191980,-33.959915,-16.869259,37.742527,-0.602087,-1.313566,2.089816,5.814401,12.191980,-33.959915,-16.869259,37.742527,0.999969,-0.000461,0.001109,0.001137,-0.002622,-0.000939,0.000617,0.001650,10.492529,3.400682,-1.727006,-20.610796,107.997501,-106.810759,-91.091291,123.427985
