duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.500000,-0.060233,0.000000,0.000000,-10.297331,9.045882,5.213868,-1.315203,-5.294727,-0.001488,-0.000000,0.000000,0.157669,-0.255434,-0.107022,0.091026,0.204197,0.999790,0.000000,0.000000,0.002434,-0.001306,-0.001007,-0.000248,0.000250,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.681013,-2.396435,-0.067507,5.958878,-3.654439,-1.208186,0.543726,1.308076,0.001929,-0.003508,-0.061083,0.053493,0.206412,-0.028478,-0.153136,-0.182243,0.999979,0.000839,0.000365,-0.002769,0.000817,0.000933,0.000265,-0.000326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-1.398691,0.045458,3.247086,-0.149735,-1.328818,-1.110169,-0.138811,0.644945,-0.000215,0.021190,0.030016,-0.386373,0.250526,0.294001,0.080139,-0.128594,1.000225,-0.000160,-0.001364,0.001144,0.000287,0.000155,-0.000256,-0.000549,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.697782,2.213420,-0.065344,-4.519003,1.855293,1.737347,0.499219,-0.547270,-0.005319,-0.020475,0.184487,0.768730,-1.688503,-1.014397,0.138193,0.947703,0.999962,-0.000582,0.000376,0.000265,0.000385,0.000251,-0.000250,-0.000613,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.001489,0.263136,-1.780355,3.585842,-1.856517,-1.059169,0.103379,0.828600,-0.001012,-0.291125,-1.711683,-2.725686,2.843637,1.715168,-0.030555,-1.195361,0.999821,0.000149,0.001027,-0.000305,-0.000508,-0.000094,-0.000067,-0.000131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.004844,0.022926,0.130359,-0.704103,0.809730,0.170970,-0.235178,-0.387517,-0.693696,-2.225736,-0.203899,4.558268,-1.144319,-1.073829,-0.388399,0.173207,1.000078,0.000637,-0.000459,-0.002010,0.000334,0.000949,0.000631,0.000173,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,0.000445,-0.002979,0.027725,-0.092857,0.046736,0.081925,0.002572,-0.070055,-1.397548,0.027455,3.324282,-1.007050,0.156016,-0.417355,-0.743457,-0.801866,1.000092,-0.000729,-0.001081,0.002987,0.001102,-0.000376,-0.001481,-0.001930,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.500000,-0.000746,-0.003107,0.017387,0.058611,-0.168756,-0.012251,0.088881,0.121629,-0.699804,2.316932,0.302822,-5.351129,-1.111406,2.504636,3.943445,3.905836,0.999850,0.000374,0.001926,-0.003675,-0.001473,0.001419,0.002523,0.002525,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
