duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.213334,0.173198,0.000000,-0.000000,5.661393,-7.939167,2.025865,1.408862,-0.596696,0.173198,0.000000,-0.000000,5.661393,-7.939167,2.025865,1.408862,-0.596696,0.999896,-0.000000,-0.000000,0.000263,-0.000128,-0.000024,0.000007,0.000004,0.206387,-0.000000,0.000000,12.607665,-19.456910,7.011278,3.199848,-1.847797
1.213334,0.591738,-0.866001,-0.482692,2.022800,-3.268227,1.338177,0.573863,-0.347037,0.591738,-0.866001,-0.482692,2.022800,-3.268227,1.338177,0.573863,-0.347037,1.000061,0.000176,-0.000177,-0.000186,0.000101,0.000082,0.000007,-0.000028,2.051140,1.858454,1.251089,-4.456665,4.444755,-0.768778,-0.918370,0.344084
1.213334,-0.633195,-0.650278,1.406570,0.037780,-0.958170,0.499510,0.170069,-0.131844,-0.633195,-0.650278,1.406570,0.037780,-0.958170,0.499510,0.170069,-0.131844,1.000028,0.000012,0.000170,-0.000377,0.000039,0.000095,0.000020,-0.000025,4.200585,1.833122,-0.297095,-0.910449,2.469062,-1.289636,-0.387005,0.311461
1.213334,-0.014880,1.235369,0.251006,-1.184323,0.307628,0.143561,-0.031007,-0.020330,-0.014880,1.235369,0.251006,-1.184323,0.307628,0.143561,-0.031007,-0.020330,0.999923,-0.000159,0.000146,0.000076,-0.000025,0.000024,0.000002,-0.000013,6.291986,1.607534,-0.219327,1.887428,-2.594579,0.743397,0.563915,-0.272663
1.213334,0.604677,-0.575720,-0.908996,-0.227705,1.291900,-0.478484,-0.296415,0.165520,0.604677,-0.575720,-0.908996,-0.227705,1.291900,-0.478484,-0.296415,0.165520,1.000046,0.000353,-0.000028,-0.000617,0.000142,0.000153,0.000026,-0.000041,8.366302,1.736466,0.287070,-0.298108,-0.717107,0.877739,0.011951,-0.171236
1.213334,-0.602087,-0.721740,0.630907,0.964475,1.111191,-1.700629,-0.464160,0.570599,-0.602087,-0.721740,0.630907,0.964475,1.111191,-1.700629,-0.464160,0.570599,0.999969,-0.000253,0.000335,0.000189,-0.000239,-0.000047,0.000017,0.000025,10.492529,1.868507,-0.521376,-3.418854,9.843015,-5.348821,-2.506389,1.866010
