duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999802,-0.000000,-0.000000,0.000572,-0.000297,-0.000054,0.000049,-0.000006,2.026215,0.000000,0.000000,26.410901,-29.573637,13.491232,-2.822343,0.223955
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999730,0.000644,0.000826,-0.000996,0.000110,0.000115,-0.000035,0.000003,33.589634,8.714500,-1.863381,8.202970,-8.312997,3.708897,-0.772521,0.061386
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999876,0.000719,0.000162,-0.000609,0.000122,0.000072,-0.000028,0.000003,66.733257,9.593716,-0.465271,2.473458,-2.644423,1.225078,-0.263259,0.021498
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.999986,0.000425,-0.000044,-0.000288,0.000069,0.000038,-0.000015,0.000001,100.003666,9.802176,-0.023165,1.220890,-1.687792,0.915765,-0.221252,0.019824
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000048,0.000358,-0.000072,-0.000239,0.000043,0.000039,-0.000012,0.000001,133.271949,9.642394,0.432719,2.238362,-3.968475,2.389229,-0.614142,0.057397
3.333334,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000104,0.000518,-0.000188,-0.000545,0.000184,0.000120,-0.000062,0.000007,166.409529,8.781989,1.870199,7.884962,-14.812435,9.111553,-2.361914,0.220556
