duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
0.500000,-0.060492,0.000000,-0.000000,-10.271773,9.012307,5.189275,-1.308450,-5.263235,-0.060492,0.000000,-0.000000,-10.271773,9.012307,5.189275,-1.308450,-5.263235,0.999790,0.000000,0.000000,0.002434,-0.001306,-0.001007,-0.000248,0.000250,0.012430,-0.000000,-0.000000,1.083959,2.923190,1.835132,-0.467448,-2.278379
0.500000,-0.680593,-2.397028,-0.083275,5.941577,-3.527705,-1.189693,0.463999,1.180821,-0.680593,-2.397028,-0.083275,5.941577,-3.527705,-1.189693,0.463999,1.180821,0.999979,0.000839,0.000365,-0.002769,0.000817,0.000933,0.000265,-0.000326,0.362868,2.511199,6.371220,5.365594,-14.897023,-6.473140,4.507263,11.265723
0.500000,-1.398413,0.056399,3.260329,-0.345024,-1.285583,-0.927224,-0.007855,0.673268,-1.398413,0.056399,3.260329,-0.345024,-1.285583,-0.927224,-0.007855,0.673268,1.000225,-0.000160,-0.001364,0.001144,0.000287,0.000155,-0.000256,-0.000549,2.907062,5.512548,-4.398658,-4.699374,12.673778,2.038010,-4.617188,-7.034022
0.500000,-0.702447,2.197577,0.089857,-3.781111,0.330925,0.706356,0.552030,0.318574,-0.702447,2.197577,0.089857,-3.781111,0.330925,0.706356,0.552030,0.318574,0.999962,-0.000582,0.000376,0.000265,0.000385,0.000251,-0.000250,-0.000613,4.704952,2.928057,1.165770,-1.186686,-0.935370,0.716871,0.719768,0.294621
0.500000,0.000038,-0.023851,-3.475886,0.723584,1.180334,0.707146,-0.003635,-0.497742,0.000038,-0.023851,-3.475886,0.723584,1.180334,0.707146,-0.003635,-0.497742,0.999821,0.000149,0.001027,-0.000305,-0.000508,-0.000094,-0.000067,-0.000131,6.289577,3.127330,-0.253099,1.178654,-1.396975,-0.453204,0.497052,0.987307
0.500000,-0.698488,-2.201021,-0.066127,3.754219,-0.198778,-0.820870,-0.672707,-0.353965,-0.698488,-2.201021,-0.066127,3.754219,-0.198778,-0.820870,-0.672707,-0.353965,1.000078,0.000637,-0.000459,-0.002010,0.000334,0.000949,0.000631,0.000173,7.851305,3.119291,-0.033180,0.654057,-0.216987,-0.804457,-0.394008,0.197739
0.500000,-1.397605,0.027757,3.377994,-1.151579,0.112460,-0.260622,-0.655029,-0.836517,-1.397605,0.027757,3.377994,-1.151579,0.112460,-0.260622,-0.655029,-0.836517,1.000092,-0.000729,-0.001081,0.002987,0.001102,-0.000376,-0.001481,-0.001930,9.441100,3.164518,-0.622764,-2.343526,6.883129,2.686521,-3.170576,-6.901713
0.500000,-0.701061,2.302540,0.330483,-5.045668,-1.744977,2.381968,4.256440,4.400173,-0.701061,2.302540,0.330483,-5.045668,-1.744977,2.381968,4.256440,4.400173,0.999850,0.000374,0.001926,-0.003675,-0.001473,0.001419,0.002523,0.002525,10.985416,3.715854,2.043127,-4.884903,-14.716513,2.627911,13.740130,17.055597
