duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
2.857143,1.492302,-0.000000,0.000000,-0.752957,0.750781,-0.350742,0.079972,-0.007092,0.119515,0.000000,0.000000,3.638422,-4.896696,2.626628,-0.643681,0.059753,0.063393,0.000000,0.000000,1.952309,-2.573719,1.374397,-0.335594,0.031033,-0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,-0.336930,-0.908229,0.096485,-0.040534,0.095680,-0.044301,0.008991,-0.000705,1.486792,-0.346178,-0.527967,1.200803,-1.377116,0.715280,-0.172778,0.015913,1.442988,0.435753,-0.139709,0.569316,-0.611804,0.295195,-0.067064,0.005845,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,-1.352270,0.404611,0.273350,-0.012526,-0.036073,0.016551,-0.003863,0.000352,-0.644028,-0.887582,0.063344,0.371648,-0.362550,0.178401,-0.042003,0.003775,2.861847,0.501925,-0.043586,0.022746,0.045675,-0.049074,0.016710,-0.001914,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,0.936320,0.737165,-0.193759,-0.054160,0.036912,-0.024486,0.007977,-0.000900,-1.170103,0.584476,0.207667,0.002136,-0.027370,0.001798,0.001447,-0.000243,4.286420,0.521595,-0.006193,-0.130167,0.201119,-0.118440,0.030997,-0.003019,-0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,0.935531,-0.726438,-0.186570,-0.009572,0.090224,-0.047996,0.011667,-0.001086,1.171970,0.594806,-0.222446,-0.056809,-0.010261,0.032252,-0.013334,0.001743,5.712194,0.513607,0.018685,-0.081689,0.072906,-0.024909,0.002862,0.000025,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,-1.352768,-0.407471,0.277493,0.013735,-0.011952,0.008887,-0.003877,0.000521,0.642466,-0.875069,-0.050162,0.303409,-0.610721,0.457169,-0.141817,0.015765,7.138487,0.486813,0.040562,0.111512,-0.284033,0.212292,-0.065739,0.007313,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000,0.000000,-0.000000
2.857143,-0.335805,0.913821,0.088624,0.008311,-0.196324,0.157837,-0.051701,0.006083,-1.488707,-0.357987,0.542653,1.260119,-2.694635,1.902334,-0.569257,0.061517,8.558535,0.434375,0.127645,0.586989,-1.306799,0.940132,-0.284053,0.030890,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000
