duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7
1.142857,0.993769,-0.000000,0.000000,-0.815603,0.552942,0.245827,-0.376446,0.103314,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.078586,0.000000,0.000000,5.728261,-7.547700,-0.671156,5.033031,-1.923942,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,0.623180,-0.589692,-0.196632,-0.146849,0.278987,0.030297,-0.173556,0.061912,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.759872,0.522458,0.492101,-2.159968,1.416132,0.777682,-1.137881,0.316185,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,-0.220831,-0.754930,0.032139,0.039500,0.109751,-0.005231,-0.078765,0.032084,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.977330,-0.106611,-0.379195,-0.620395,1.107716,-0.004446,-0.745436,0.308950,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,-0.899435,-0.336965,0.247658,0.037130,0.044192,-0.012519,-0.043304,0.020210,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.440957,-0.729523,-0.317675,0.577852,-0.199176,-0.262443,0.181845,-0.016975,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,-0.899684,0.340329,0.253736,-0.010478,0.008743,-0.010534,-0.024603,0.013364,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.434644,-0.756777,0.143410,0.654793,-0.826447,-0.158146,0.695922,-0.266300,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,-0.221376,0.762237,0.046694,-0.044631,0.012882,-0.004939,-0.035766,0.018848,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.980506,-0.159485,0.456171,-0.312997,-0.122927,0.383552,-0.028776,-0.083251,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
1.142857,0.624769,0.604460,-0.222640,0.007357,0.078264,-0.054875,-0.142193,0.098719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.772200,0.559284,0.000136,-1.695136,3.936429,0.182816,-4.310042,2.015615,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
